GP,Thailand,Argentina,USA,Qatar,Spain,France,Great Britian,Aragon,Italy,Netherlands,Germany,Czechia,Austria,Hungary,Catalunya,San Marino,Japan,Indonesia,Australia,Malaysia,Portugal,Valencia
Track name,Chang International Circuit Buriram,Circuito Internaconal Termas De Rio Hondo,Circuit of the Americas,Lusail International Circuit,Circuito De Jerez,Le Mans Bugatti Circuit,Silverstone,Motorland Aragon,Mugello,Assen TT circuit,Sachsenring,Brno,Red Bull Ring,Balaton Park,Circuito De Catalunya,World Circuit Marco Simoncelli,Mobility Resort Motegi,Mandalika International Circuit,Phillip Island,Sepang International Circuit,Portimao,Ricardo Tormo Valencia
Latitude,14.957883,-27.511285,30.137913,25.488495,36.709896,47.957632,52.06844,41.080818,43.996949,52.960835,50.791448,49.230319,47.220124,47.007497,41.568868,43.963731,36.532176,-8.895372,-38.502284,2.760649,37.231814,39.484786
Longitude,103.085268,-64.920931,-97.63947,51.45286,-6.03328,0.213394,-1.022746,-0.204563,11.371515,6.521784,12.686345,16.443774,14.765883,18.201054,2.260296,12.685159,140.227326,116.304709,145.232022,101.736465,-8.630749,-0.628809
Temp week 1 (january),31,33,16,22,16,8,6,9,9,5,4,2,1,3,15,8,8,31,23,32,16,16
Temp week 2,31.5,33.5,16.5,22.5,16.5,8.5,6.5,9.5,9.5,5.5,4.5,2.5,1.5,3.5,15.5,8.5,8.5,31.5,23.5,32.5,16.5,16.5
Temp week 3,32,34,17,23,17,9,7,10,10,6,5,3,2,4,16,9,9,32,24,33,17,17
Temp week 4,32.5,34.5,17.5,23.5,17.5,9.5,7.5,10.5,10.5,6.5,5.5,3.5,2.5,4.5,16.5,9.5,9.5,32.5,24.5,33.5,17.5,17.5
Temp week 5 (february),33,31,19,24,18,10,6,11,11,6,5,4,5,5,15,10,9,31,24,33,16,17
Temp week 6,33.5,30.5,20,25,18.75,10.75,6.5,11.5,12,6.75,6,5.5,6.25,6.25,15.5,11,10,31,23.5,33,16.5,17.5
Temp week 7,34,30,21,26,19.5,11.5,7,12,13,7.5,7,7,7.5,7.5,16,12,11,31,23,33,17,18
Temp week 8,34.5,29.5,22,27,20.25,12.25,7.5,12.5,14,8.25,8,8.5,8.75,8.75,16.5,13,12,31,22.5,33,17.5,18.5
Temp week 9 (march),35,29,23,28,21,13,8,13,15,9,9,10,10,10,17,14,13,31,22,33,18,19
Temp week 10,35.2,28.4,23.8,29,21.4,13.6,8.8,13.4,15.6,9.8,10,11,10.8,11.2,17.4,14.6,14,31.2,21.4,33,18.2,19.4
Temp week 11,35.4,27.8,24.6,30,21.8,14.2,9.6,13.8,16.2,10.6,11,12,11.6,12.4,17.8,15.2,15,31.4,20.8,33,18.4,19.8
Temp week 12,35.6,27.2,25.4,31,22.2,14.8,10.4,14.2,16.8,11.4,12,13,12.4,13.6,18.2,15.8,16,31.6,20.2,33,18.6,20.2
Temp week 13,35.8,26.6,26.2,32,22.6,15.4,11.2,14.6,17.4,12.2,13,14,13.2,14.8,18.6,16.4,17,31.8,19.6,33,18.8,20.6
Temp week 14 (April),36,26,27,33,23,16,12,15,18,13,14,15,14,16,19,17,18,32,19,33,19,21
Temp week 15,35.75,25,27.75,34.5,23.75,17,12.75,16.25,19.25,14.25,15.25,16.25,15.25,17.25,20,18.25,19.25,31.75,18.5,33,19.75,21.75
Temp week 16,35.5,24,28.5,36,24.5,18,13.5,17.5,20.5,15.5,16.5,17.5,16.5,18.5,21,19.5,20.5,31.5,18,33,20.5,22.5
Temp week 17,35.25,23,29.25,37.5,25.25,19,14.25,18.75,21.75,16.75,17.75,18.75,17.75,19.75,22,20.75,21.75,31.25,17.5,33,21.25,23.25
Temp week 18 (May),35,22,30,39,26,20,15,20,23,18,19,20,19,21,23,22,23,31,17,33,22,24
Temp week 19,34.5,21.25,31,39.75,27,21,15.75,21.5,24,18.5,19.75,21,20,22,24,23.25,23.75,31,16.25,32.75,22.5,25
Temp week 20,34,20.5,32,40.5,28,22,16.5,23,25,19,20.5,22,21,23,25,24.5,24.5,31,15.5,32.5,23,26
Temp week 21,33.5,19.75,33,41.25,29,23,17.25,24.5,26,19.5,21.25,23,22,24,26,25.75,25.25,31,14.75,32.25,23.5,27
Temp week 22 (June),33,19,34,42,30,24,18,26,27,20,22,24,23,25,27,27,26,31,14,32,24,28
Temp week 23,32.8,19.2,34.4,42,30.8,24.4,18.6,26.6,27.8,20.4,22.4,24.4,23.4,25.4,27.4,27.4,26.6,30.8,14,32,24.2,28.8
Temp week 24,32.6,19.4,34.8,42,31.6,24.8,19.2,27.2,28.6,20.8,22.8,24.8,23.8,25.8,27.8,27.8,27.2,30.6,14,32,24.4,29.6
Temp week 25,32.4,19.6,35.2,42,32.4,25.2,19.8,27.8,29.4,21.2,23.2,25.2,24.2,26.2,28.2,28.2,27.8,30.4,14,32,24.6,30.4
Temp week 26,32.2,19.8,35.6,42,33.2,25.6,20.4,28.4,30.2,21.6,23.6,25.6,24.6,26.6,28.6,28.6,28.4,30.2,14,32,24.8,31.2
Temp week 27 (July),32,20,36,42,34,26,21,29,31,22,24,26,25,27,29,29,29,30,14,32,25,32
Temp week 28,32,21,36,41.75,34,26,20.75,29,30.75,22,24,25.75,24.75,26.75,29,29,29.25,30,14,32,25.25,31.75
Temp week 29,32,22,36,41.5,34,26,20.5,29,30.5,22,24,25.5,24.5,26.5,29,29,29.5,30,14,32,25.5,31.5
Temp week 30,32,23,36,41.25,34,26,20.25,29,30.25,22,24,25.25,24.25,26.25,29,29,29.75,30,14,32,25.75,31.25
Temp week 31 (August),32,24,36,41,34,26,20,29,30,22,24,25,24,26,29,29,30,30,14,32,26,31
Temp week 32,31.8,24.6,35.4,40.6,33.2,25.2,19.6,28,29,21.4,23,24,23.2,25,28.4,28.2,29.2,30.2,14.4,32,25.8,30.4
Temp week 33,31.6,25.2,34.8,40.2,32.4,24.4,19.2,27,28,20.8,22,23,22.4,24,27.8,27.4,28.4,30.4,14.8,32,25.6,29.8
Temp week 34,31.4,25.8,34.2,39.8,31.6,23.6,18.8,26,27,20.2,21,22,21.6,23,27.2,26.6,27.6,30.6,15.2,32,25.4,29.2
Temp week 35,31.2,26.4,33.6,39.4,30.8,22.8,18.4,25,26,19.6,20,21,20.8,22,26.6,25.8,26.8,30.8,15.6,32,25.2,28.6
Temp week 36  (September),31,27,33,39,30,22,18,24,25,19,19,20,20,21,26,25,26,31,16,32,25,28
Temp week 37,31,27.75,31.75,38,29,20.75,17,22.5,23.75,19,17.75,18.5,18.5,19.75,25.25,23.75,24.75,31.25,16.5,32,24.5,27
Temp week 38,31,28.5,30.5,37,28,19.5,16,21,22.5,19,16.5,17,17,18.5,24.5,22.5,23.5,31.5,17,32,24,26
Temp week 39,31,29.25,29.25,36,27,18.25,15,19.5,21.25,19,15.25,15.5,15.5,17.25,23.75,21.25,22.25,31.75,17.5,32,23.5,25
Temp week 40 (October),31,30,28,35,26,17,14,18,20,19,14,14,14,16,23,20,21,32,18,32,23,24
Temp week 41,31,30.25,26.5,33.75,24.5,15.75,12.75,16.25,18.5,16.5,12.5,12.25,12.25,14,21.75,18.25,19.5,32,18.5,32,22,22.75
Temp week 42,31,30.5,25,32.5,23,14.5,11.5,14.5,17,14,11,10.5,10.5,12,20.5,16.5,18,32,19,32,21,21.5
Temp week 43,31,30.75,23.5,31.25,21.5,13.25,10.25,12.75,15.5,11.5,9.5,8.75,8.75,10,19.25,14.75,16.5,32,19.5,32,20,20.25
Temp week 44 (November),31,31,22,30,20,12,9,11,14,9,8,7,7,8,18,13,15,32,20,32,19,19
Temp week 45,30.8,31.4,21.2,29,19.4,11.4,8.6,10.6,13.2,8.4,7.4,6.2,6,7.2,17.6,12.2,14.2,31.8,20.4,32,18.6,18.6
Temp week 46,30.6,31.8,20.4,28,18.8,10.8,8.2,10.2,12.4,7.8,6.8,5.4,5,6.4,17.2,11.4,13.4,31.6,20.8,32,18.2,18.2
Temp week 47,30.4,32.2,19.6,27,18.2,10.2,7.8,9.8,11.6,7.2,6.2,4.6,4,5.6,16.8,10.6,12.6,31.4,21.2,32,17.8,17.8
Temp week 48,30.2,32.6,18.8,26,17.6,9.6,7.4,9.4,10.8,6.6,5.6,3.8,3,4.8,16.4,9.8,11.8,31.2,21.6,32,17.4,17.4
Temp week 49 (December),30,33,18,25,17,9,7,9,10,6,5,3,2,4,16,9,11,31,22,32,17,17
Temp week 50,30.25,33,17.5,24.25,16.75,8.75,6.75,9,9.75,5.75,4.75,2.75,1.75,3.75,15.75,8.75,10.25,31,22.25,32,16.75,16.75
Temp week 51,30.5,33,17,23.5,16.5,8.5,6.5,9,9.5,5.5,4.5,2.5,1.5,3.5,15.5,8.5,9.5,31,22.5,32,16.5,16.5
Temp week 52,30.75,33,16.5,22.75,16.25,8.25,6.25,9,9.25,5.25,4.25,2.25,1.25,3.25,15.25,8.25,8.75,31,22.75,32,16.25,16.25
